lastName;firstName;birthDate;team-complete-name;team-official-name;role;id;wyId;country;birthCountry;teamId;nationalTeamId;foot;age
Al Tameemi;Ali Adnan Kadhim;1993-12-19;Udinese Calcio;Udinese;Defender;368;131184;Iraq;Iraq;3163;17759;left;26
Albiol Tortajada;Raúl;1985-09-04;SSC Napoli;Napoli;Defender;724;3300;Spain;Spain;3187;null;right;34
Alcibiade;David;1991-09-26;????;????;Defender;250;28251;France;France;None;null;;28
Alcântara do Nascimento;Rafael;1993-02-12;FC Internazionale Milano;Internazionale;Midfielder;724;3344;Spain;Brazil;3161;null;left;26
Alcântara do Nascimento;Thiago;1991-04-11;FC Bayern Mánchen;Bayern Mánchen;Midfielder;76;3345;Brazil;Spain;2444;1598;right;28
Alejo Peralta;Iván;1995-02-10;SD Eibar;Eibar;Midfielder;724;279555;Spain;Spain;701;null;right;24
Alibec;Denis;1991-05-09;????;????;Forward;642;38598;Romania;Romania;11630;11944;left;28
Aliji;Naser Ismail;1993-12-27;????;????;Defender;756;50503;Switzerland;Albania;null;null;left;26
Almeida da Cunha;Luís Carlos;1986-11-17;SS Lazio;Lazio;Midfielder;620;7926;Portugal;Cape Verde Islands;3162;null;right;33
Almer;Robert;1984-03-20;????;????;Goalkeeper;40;16126;Austria;Austria;None;null;left;35
Alvim Marinato;Guilherme;1985-12-12;????;????;Goalkeeper;643;101611;Russia;Brazil;13887;null;right;34
Amagat Arimany;Eloi;1985-05-21;Girona FC;Girona;Midfielder;724;167104;Spain;Spain;756;null;right;34
Amalfitano;Morgan;1985-03-20;????;????;Midfielder;250;25562;France;France;None;null;right;34
Amat Maas;Jordi;1992-03-21;Real Betis Balompié;Real Betis;Defender;724;3788;Spain;Spain;684;null;right;27
Amrabat;Nordin;1987-03-31;????;????;Forward;504;32968;Morocco;Netherlands;16470;16216;right;32
Aoás Corrêa ;Marcos ;1994-05-14;Paris Saint-Germain FC;PSG;Defender;620;40539;Portugal;Brazil;3767;6380;right;25
Aparecido Rodrigues;Ronaldo ;1982-09-10;FC Schalke 04;Schalke 04;Defender;276;14689;Germany;Brazil;2449;null;right;37
Aquilani;Alberto;1984-07-07;????;????;Midfielder;380;20401;Italy;Italy;None;null;right;35
Aramu;Mattia;1995-05-14;????;????;Forward;380;134440;Italy;Italy;3169;null;left;24
Areitio Cedrún;Markel;1996-09-07;????;????;Goalkeeper;724;344056;Spain;Spain;936;null;right;23
Arrizabalaga Revuelta;Kepa;1994-10-03;Chelsea FC;Chelsea;Goalkeeper;724;3397;Spain;Spain;1610;1598;right;25
Artiles Oliva;Aythami;1986-04-02;????;????;Defender;724;3372;Spain;Spain;709;null;right;33
Aréola;Alphonse;1993-02-27;Paris Saint-Germain FC;PSG;Goalkeeper;608;25418;Philippines;France;3767;4418;right;26
Aspas Juncal;Iago;1987-08-01;Real Club Celta de Vigo;Celta de Vigo;Forward;724;3840;Spain;Spain;692;1598;left;32
Assou-Ekotto;Benoît;1984-03-24;????;????;Defender;120;8268;Cameroon;France;None;null;left;35
Astori;Davide;1987-01-07;????;????;Defender;380;20866;Italy;Italy;None;null;left;32
Avelar;Danilo Fernando;1989-06-09;Amiens SC;Amiens SC;Defender;380;105523;Italy;Brazil;3789;null;left;30
Azevedo Júnior;Hernani;1994-03-27;AS Saint-Étienne;Saint-Étienne;Midfielder;620;134797;Portugal;Brazil;3782;null;right;25
Azmoun;Sardar;1995-01-01;????;????;Forward;364;79006;Iran;Iran;13895;10840;right;24
Baird;Chris;1982-02-25;????;????;Defender;0;11131;Northern Ireland;Northern Ireland;null;null;right;37
Bastos Pimparel;António Alberto;1982-05-01;????;????;Goalkeeper;620;83876;Portugal;Portugal;4522;9905;right;37
Bedimo Nsamè;Henri;1984-06-04;Olympique de Marseille;Olympique Marseille;Defender;250;25988;France;Cameroon;3771;null;left;35
Bedoui;Rami;1990-01-19;????;????;Defender;788;120900;Tunisia;Tunisia;16231;16276;right;29
Bekhit;Abdallah Mahmoud El Said;1985-07-13;????;????;Midfielder;818;120167;Egypt;Egypt;16465;16129;right;34
Bellanova;Raoul;2000-05-16;????;????;Defender;380;405598;Italy;Italy;26542;3764;right;19
Ben Amor;Mohamed Amine;1992-05-03;????;????;Midfielder;788;354041;Tunisia;Tunisia;16231;16276;right;27
Benger;Marcel;1998-07-02;Borussia VfL Mönchengladbach;Borussia M'gladbach;Midfielder;276;372316;Germany;Germany;2454;null;right;21
Benítez Caraballo;Francesc Aday;1987-12-16;Girona FC;Girona;Defender;724;6210;Spain;Spain;756;null;right;32
Berchiche Izeta;Yuri;1990-02-10;Paris Saint-Germain FC;PSG;Defender;724;4452;Spain;Spain;3767;null;left;29
Berenguer Remiro;Alejandro;1995-07-04;Torino FC;Torino;Forward;724;339791;Spain;Spain;3185;null;right;24
Berezutski;Vasili;1982-06-20;????;????;Defender;643;101581;Russia;Russia;None;null;right;37
Berezutski;Alexei;1982-06-20;????;????;Defender;643;101580;Russia;Russia;None;null;right;37
Berg;Marcus;1986-08-17;????;????;Forward;752;14908;Sweden;Sweden;16926;7047;right;33
Berg Guðmunds­­-­­son;Johann ;1990-10-27;Burnley FC;Burnley;Midfielder;352;93;Iceland;Iceland;1646;7839;left;29
Bergara Larrañaga;Markel;1986-05-05;Getafe Club de Fútbol;Getafe;Midfielder;724;3674;Spain;Spain;698;null;right;33
Berič;Robert;1991-06-17;AS Saint-Étienne;Saint-Étienne;Forward;705;85438;Slovenia;Slovenia;3782;12046;right;28
Bernauer;Maxime;1998-07-01;????;????;Defender;250;352987;France;France;3927;null;right;21
Bessat;Vincent;1985-11-08;????;????;Midfielder;250;25532;France;France;None;null;left;34
Besuschkow;Max;1997-05-31;????;????;Midfielder;276;302608;Germany;Germany;5120;null;right;22
Bezzera Maciel Júnior;José Paulo;1988-07-25;????;????;Midfielder;76;40550;Brazil;Brazil;9174;6380;right;31
Bialkowski;Bartosz;1987-07-06;????;????;Goalkeeper;616;8121;Poland;Poland;1634;null;right;32
Billemaz;Clément;1998-09-22;????;????;Forward;250;421864;France;France;4062;null;;21
Biondini;Davide;1983-01-24;US Sassuolo Calcio;Sassuolo;Midfielder;380;21282;Italy;Italy;3315;null;right;36
Biševac;Milan;1983-08-31;FC Metz;Metz;Defender;250;25423;France;Serbia;3777;null;right;36
Boccafoglia;Giacomo;1998-12-01;????;????;Defender;380;503517;Italy;Italy;3679;null;right;21
Boialvo Gaspar;Bruno Miguel;1993-04-21;ACF Fiorentina;Fiorentina;Defender;620;222766;Portugal;Portugal;3176;null;right;26
Boisgard;Quentin;1997-03-17;Toulouse FC;Toulouse;Midfielder;250;374118;France;France;3780;null;right;22
Bonnefoi;Landry;1983-09-20;????;????;Goalkeeper;250;26046;France;France;None;null;right;36
Borello;Giuseppe;1999-04-28;????;????;Midfielder;380;483978;Italy;Italy;3291;null;left;20
Borriello;Marco;1982-06-18;????;????;Forward;380;20476;Italy;Italy;None;null;left;37
Borsellini;Davide;1999-01-04;Udinese Calcio;Udinese;Goalkeeper;380;393566;Italy;Italy;3163;null;left;20
Bouah;Devid Eugene;2001-08-13;????;????;Defender;380;532436;Italy;Italy;31889;null;right;18
Bouet;Jean-Christophe;1983-07-21;Amiens SC;Amiens SC;Goalkeeper;250;26970;France;France;3789;null;right;36
Boussoufa;Mbark;1984-08-15;????;????;Midfielder;504;101846;Morocco;Netherlands;16927;16216;right;35
Braga Rebocho;Pedro Miguel;1995-01-23;En Avant Guingamp;Guingamp;Defender;620;135901;Portugal;Portugal;3785;null;left;24
Brancolini;Federico;2001-07-14;????;????;Goalkeeper;380;456492;Italy;Italy;3702;null;right;18
Brašanac;Darko;1992-02-12;CD Leganés;Leganés;Midfielder;688;127928;Serbia;Serbia;712;null;right;27
Brignani;Fabrizio;1998-01-13;????;????;Defender;380;392383;Italy;Italy;3207;null;right;21
Britton;Leon;1982-09-16;????;????;Midfielder;0;77550;England;England;null;null;right;37
Bruzzi;Lorenzo;2000-01-31;????;????;Goalkeeper;380;536520;Italy;Italy;63189;null;left;19
Bueno Calvo;Alberto ;1988-03-20;Málaga Club de Fútbol;Málaga;Forward;724;3779;Spain;Spain;683;null;right;31
Burdisso;Nicolás Andrés;1981-04-12;????;????;Defender;380;20429;Italy;Argentina;None;null;right;38
Burgstaller;Guido;1989-04-29;FC Schalke 04;Schalke 04;Forward;40;64995;Austria;Austria;2449;9109;right;30
Burnic;Dzenis;1998-05-22;VfB Stuttgart 1893;Stuttgart;Midfielder;70;356908;Bosnia-Herzegovina;Germany;2445;3156;left;21
Busquets Mas;Oriol;1999-01-20;????;????;Midfielder;724;344046;Spain;Spain;759;null;right;20
Busquets i Burgos;Sergio;1988-07-16;FC Barcelona;Barcelona;Midfielder;724;3346;Spain;Spain;676;1598;right;31
Butić;Karlo;1998-08-21;????;????;Forward;191;386656;Croatia;Croatia;3182;null;left;21
Báchel;Marcel;1991-03-18;Hellas Verona FC;Hellas Verona;Midfielder;438;22099;Liechtenstein;Austria;3194;null;left;28
Bárki;Roman;1990-11-14;BV Borussia 09 Dortmund;Borussia Dortmund;Goalkeeper;756;49968;Switzerland;Switzerland;2447;6697;right;29
Bérigaud;Kévin;1988-05-09;????;????;Forward;250;26665;France;France;34760;null;right;31
Cabaye;Yohan;1986-01-14;????;????;Midfielder;250;7988;France;France;16928;null;right;33
Cabras;Nicolò;2001-02-11;????;????;Goalkeeper;380;545472;Italy;Italy;3700;null;right;18
Caetano de Araújo;Raffael;1985-03-28;Borussia VfL Mönchengladbach;Borussia M'gladbach;Forward;76;15107;Brazil;Brazil;2454;null;right;34
Cahill;Tim;1979-12-06;????;????;Forward;882;8247;Samoa;Australia;61063;8493;right;40
Caiazza;Aldo;1999-03-20;????;????;Defender;380;471252;Italy;Italy;31268;null;right;20
Calderón Frias;José De Jesus;1985-08-14;????;????;Goalkeeper;591;131576;Panama;Panama;16909;17929;right;34
Caligara;Fabrizio;2000-04-12;Cagliari Calcio;Cagliari;Midfielder;380;434142;Italy;Italy;3173;null;left;19
Callejón Bueno;José María;1987-02-11;SSC Napoli;Napoli;Forward;724;3313;Spain;Spain;3187;null;right;32
Camara;Abdoul Razzagui;1990-02-20;En Avant Guingamp;Guingamp;Midfielder;250;25474;France;Guinea;3785;null;left;29
Cana;Lorik Agim;1983-07-27;????;????;Defender;250;20555;France;Albania;None;null;right;36
Candeloro;Thomas;2000-05-29;????;????;Goalkeeper;756;531179;Switzerland;Switzerland;6418;null;right;19
Cannavaro;Paolo;1981-06-26;????;????;Defender;380;21162;Italy;Italy;None;null;right;38
Capoue;Etienne;1988-07-11;Watford FC;Watford;Midfielder;312;25798;Guadeloupe;France;1644;null;right;31
Carrick;Michael;1981-07-28;????;????;Midfielder;0;7928;England;England;null;null;right;38
Carrique;Thomas;1999-02-26;FC Girondins de Bordeaux;Bordeaux;Defender;250;499295;France;France;3772;null;right;20
Carroll;Roy;1977-09-30;????;????;Goalkeeper;0;92895;Northern Ireland;Northern Ireland;10847;10962;right;42
Casimiro;Carlos Henrique;1992-02-23;Real Madrid Club de Fútbol;Real Madrid;Midfielder;76;40756;Brazil;Brazil;675;6380;right;27
Castellano Betancor;Javi;1987-11-02;UD Las Palmas;Las Palmas;Midfielder;724;4361;Spain;Spain;714;null;right;32
Castellano Betancor;Dani;1987-11-02;UD Las Palmas;Las Palmas;Defender;724;4371;Spain;Spain;714;null;left;32
Castillejo Azuaga;Samuel ;1995-01-18;Villarreal Club de Fútbol;Villarreal;Midfielder;724;134174;Spain;Spain;682;null;left;24
Castro Irizábal;Gonzalo;1984-09-14;Málaga Club de Fútbol;Málaga;Midfielder;724;3645;Spain;Uruguay;683;null;left;35
Castro Martín;Rubén;1981-06-27;Real Betis Balompié;Real Betis;Forward;724;3604;Spain;Spain;684;null;right;38
Caumet;Romain;1999-04-13;Montpellier HSC;Montpellier;Midfielder;250;501018;France;France;3787;null;;20
Cavaco Jordão;Bruno André;1998-10-12;SS Lazio;Lazio;Midfielder;620;401277;Portugal;Portugal;3162;9911;right;21
Cavalieri;Diego;1982-12-01;????;????;Goalkeeper;380;41154;Italy;Brazil;null;null;left;37
Chaalali;Ghilane;1994-02-28;????;????;Midfielder;788;354043;Tunisia;Tunisia;16232;16276;right;25
Chagas Estevão;Dalbert Henrique;1993-09-08;FC Internazionale Milano;Internazionale;Defender;76;298212;Brazil;Brazil;3161;null;left;26
Charrier;Charly;1986-05-27;????;????;Midfielder;250;25938;France;France;None;null;right;33
Cheshmi;Rouzbeh;1993-07-24;????;????;Defender;364;272829;Iran;Iran;10767;10840;right;26
Chiricheș;Vlad Iulian;1989-11-14;SSC Napoli;Napoli;Defender;642;83575;Romania;Romania;3187;11944;right;30
Cho;Hyun-Woo;1991-09-25;????;????;Goalkeeper;410;256043;Korea Republic;Korea Republic;14772;14855;right;28
Church;Simon;1988-12-10;????;????;Forward;0;8688;Wales;England;null;null;right;31
Ciavattini;Stefano;1998-03-30;????;????;Defender;380;347014;Italy;Italy;3170;null;right;21
Cikalleshi;Sokol;1990-07-27;????;????;Forward;8;64067;Albania;Albania;4507;null;right;29
Colindres Solera;Daniel;1985-01-10;????;????;Forward;188;125273;Costa Rica;Costa Rica;null;16871;right;34
Colpani;Andrea;1999-05-11;????;????;Midfielder;380;422555;Italy;Italy;3715;3764;left;20
Compper;Marvin;1985-06-14;????;????;Defender;250;15800;France;Germany;8508;null;left;34
Confais;Alois;1996-09-07;Espérance Sportive Troyes Aube Champagne;Troyes;Midfielder;250;249926;France;France;3795;null;right;23
Confente;Alessandro;1998-06-07;AC Chievo Verona;Chievo;Goalkeeper;380;417230;Italy;Italy;3165;null;right;21
Cooper Whitaker;Armando Enrique;1987-11-26;????;????;Midfielder;591;86411;Panama;Panama;11564;17929;right;32
Coppola;Ferdinando;1978-06-10;????;????;Goalkeeper;380;21091;Italy;Italy;None;null;right;41
Coppola;Domenico;1999-01-29;????;????;Goalkeeper;380;423147;Italy;Italy;3291;null;right;20
Cossu;Andrea;1980-05-03;????;????;Midfielder;380;20874;Italy;Italy;None;null;right;39
Cotterill;David;1987-12-04;????;????;Midfielder;0;143802;Wales;Wales;null;null;right;32
Cuéllar Sacristán;Iván;1984-05-25;CD Leganés;Leganés;Goalkeeper;724;3963;Spain;Spain;712;null;left;35
Daga;Riccardo;2000-01-13;Cagliari Calcio;Cagliari;Goalkeeper;380;507570;Italy;Italy;3173;null;right;19
De La Bella Madureño;Alberto;1985-12-02;Real Sociedad de Fútbol;Real Sociedad;Defender;724;3667;Spain;Spain;687;null;left;34
De Luca;Manuel;1998-07-17;????;????;Forward;380;471300;Italy;Italy;3244;null;right;21
Deeney;Troy;1988-06-29;Watford FC;Watford;Forward;388;8903;Jamaica;England;1644;null;right;31
Dejagah;Ashkan;1986-07-05;????;????;Midfielder;276;14939;Germany;Iran;10788;10840;right;33
Del Favero;Mattia;1998-06-05;????;????;Goalkeeper;380;375395;Italy;Italy;63044;null;right;21
Del Prato;Enrico;1999-11-10;????;????;Defender;380;422552;Italy;Italy;3715;3764;right;20
Delaney;Damien;1981-07-20;????;????;Defender;372;8583;Ireland Republic;Ireland Republic;8153;null;left;38
Della Giovanna;Fabio;1997-03-21;????;????;Defender;380;286219;Italy;Italy;3282;null;left;22
Diekmeier;Dennis;1989-10-20;????;????;Defender;276;14888;Germany;Germany;None;null;right;30
Diéguez Grande;Adrián;1996-02-04;Deportivo Alavés;Deportivo Alavés;Defender;724;364870;Spain;Spain;696;null;left;23
Djilobodji;Papiss Mison;1988-12-01;Dijon FCO;Dijon;Defender;686;25524;Senegal;Senegal;3804;null;left;31
Djoulou Zohoki;Franck Alain;1999-01-01;????;????;Forward;380;507587;Italy;Côte d'Ivoire;3713;null;right;20
Donadello;Andrea;2000-04-28;????;????;Defender;380;531687;Italy;Italy;3724;null;right;19
Dramé;Boukary;1985-07-22;????;????;Defender;686;20639;Senegal;France;None;null;left;34
Dražić;Dejan;1995-09-26;????;????;Midfielder;688;282994;Serbia;Serbia;14376;null;right;24
Drmic;Josip;1992-08-08;Borussia VfL Mönchengladbach;Borussia M'gladbach;Forward;191;50023;Croatia;Switzerland;2454;6697;right;27
Duffy;Shane;1992-01-01;Brighton & Hove Albion FC;Brighton & Hove Albion;Defender;372;8242;Ireland Republic;Northern Ireland;1651;8274;right;27
Duro Perales;Hugo;1999-11-10;Getafe Club de Fútbol;Getafe;Forward;724;545811;Spain;Spain;698;null;left;20
Díaz Rhenals;Farid Alfonso;1983-07-20;????;????;Defender;170;90999;Colombia;Colombia;12424;null;left;36
Ebrahimi;Omid;1987-09-16;????;????;Midfielder;364;78991;Iran;Iran;16442;10840;right;32
Echiejile;Elderson Uwa;1988-01-20;????;????;Defender;566;70168;Nigeria;Nigeria;None;16823;left;31
Efouba Ayissi;Théodore;1997-05-05;????;????;Defender;250;394008;France;Cameroon;None;null;right;22
Egbo;Mandela;1997-08-17;????;????;Defender;566;286823;Nigeria;England;2619;null;right;22
El Hadary;Essam Kamal Tawfik;1973-01-15;????;????;Goalkeeper;818;120269;Egypt;Egypt;16049;16129;right;46
El Id;Moctar El Hacen;1997-12-31;Levante UD;Levante;Midfielder;478;264778;Mauritania;Mauritania;695;null;right;22
El Mohamady Abdel Fattah;Ahmed Eissa ;1987-09-09;????;????;Midfielder;818;8525;Egypt;Egypt;1614;16129;right;32
El Shenawy;Mohamed;1988-12-18;????;????;Goalkeeper;818;120000;Egypt;Egypt;16041;16129;right;31
Elek;Ákos;1988-07-21;????;????;Midfielder;348;33082;Hungary;Hungary;10984;10451;left;31
Elia;Salvatore;1999-06-30;????;????;Forward;380;418317;Italy;Italy;3252;null;right;20
Elustondo Irribaria;Aritz;1994-03-28;Real Sociedad de Fútbol;Real Sociedad;Defender;724;278288;Spain;Spain;687;null;right;25
Ely;Rodrigo;1993-11-03;Deportivo Alavés;Deportivo Alavés;Defender;380;208694;Italy;Brazil;696;null;right;26
Enrich Ametller;Sergio;1990-02-26;SD Eibar;Eibar;Forward;724;4048;Spain;Spain;701;null;right;29
Eramo;Mirko;1989-07-12;????;????;Midfielder;380;22565;Italy;Italy;3404;null;right;30
Ercolano;Emanuel;2002-10-15;????;????;Defender;380;560427;Italy;Italy;22302;null;null;17
Esposito;Salvatore;2000-10-07;????;????;Midfielder;380;535716;Italy;Italy;26442;null;right;19
Etxebarria Urkiaga;Beñat;1987-02-19;Athletic Club Bilbao;Athletic Club;Midfielder;724;3595;Spain;Spain;678;null;right;32
Evra;Patrice;1981-05-15;????;????;Defender;250;7915;France;Senegal;null;null;left;38
Expósito Jaén;Eduardo;1996-08-01;Real Club Deportivo de La Coruña;Deportivo La Coruña;Midfielder;724;499843;Spain;Spain;677;null;right;23
Ezenwa;Ikechukwu;1988-10-16;????;????;Goalkeeper;566;125207;Nigeria;Nigeria;16786;16823;right;31
Fadlallah;Mahmoud Abdel Razek;1986-03-05;????;????;Midfielder;818;119981;Egypt;Egypt;12532;16129;left;33
Faussot;Corentin;1998-01-04;????;????;Midfielder;250;394577;France;France;4062;null;;21
Fedetskiy;Artem;1985-04-26;????;????;Defender;804;105518;Ukraine;Ukraine;14517;null;right;34
Femenía Far;Francisco;1991-02-02;Watford FC;Watford;Defender;724;3351;Spain;Spain;1644;null;right;28
Fernandes;Gélson da Conceição Tavares;1986-09-02;Eintracht Frankfurt;Eintracht Frankfurt;Midfielder;756;20591;Switzerland;Cape Verde Islands;2462;6697;right;33
Ferreira de Souza;Márcio Rafael;1985-09-07;FC Bayern Mánchen;Bayern Mánchen;Defender;76;14718;Brazil;Brazil;2444;null;right;34
Ferrini;Manuel;1998-06-25;????;????;Defender;380;432680;Italy;Italy;39972;null;right;21
Filip;Steliano ;1994-05-15;????;????;Defender;642;84367;Romania;Romania;9416;null;left;25
Fiordaliso;Alessandro;1999-03-20;????;????;Defender;380;416011;Italy;Italy;3230;null;right;20
Flamini;Mathieu;1984-03-07;????;????;Midfielder;250;20406;France;France;None;null;right;35
Fornals Malla;Pablo;1996-02-22;Villarreal Club de Fútbol;Villarreal;Midfielder;724;399676;Spain;Spain;682;1604;right;23
Foster;Ben;1983-04-03;Watford FC;Watford;Goalkeeper;0;8358;England;England;1644;null;left;36
Fournier;Lilian;1998-05-18;????;????;Midfielder;250;426704;France;France;3919;null;right;21
Frabotta;Gianluca;1999-06-24;????;????;Defender;380;489124;Italy;Italy;3414;27928;left;20
Frello Filho;Jorge Luiz;1991-12-20;SSC Napoli;Napoli;Midfielder;380;21315;Italy;Brazil;3187;3757;right;28
Fridjónsson;Samúel Kári;1996-02-22;????;????;Midfielder;352;233276;Iceland;Iceland;7092;7839;right;23
Fráchtl;Christian;2000-01-28;FC Bayern Mánchen;Bayern Mánchen;Goalkeeper;276;396887;Germany;Germany;2444;null;left;19
Fàbregas i Soler;Francesc;1987-05-04;Chelsea FC;Chelsea;Midfielder;724;3350;Spain;Spain;1610;null;right;32
Fáhrich;Chris;1998-01-09;1. FC Köln;Köln;Midfielder;276;448127;Germany;Germany;2463;null;right;21
Fállkrug;Niclas;1993-02-09;Hannover 96;Hannover 96;Forward;276;14705;Germany;Germany;2455;null;right;26
Gabbia;Matteo;1999-10-21;????;????;Defender;380;405603;Italy;Italy;3203;3764;right;20
Gabulov;Vladimir;1983-10-19;????;????;Goalkeeper;643;101834;Russia;Russia;5072;14358;right;36
Gagliano;Luca;2000-07-14;????;????;Forward;380;546356;Italy;Italy;3700;null;left;19
Gamberini;Alessandro;1981-08-27;????;????;Defender;380;20929;Italy;Italy;None;null;right;38
Ganchinho Guedes;Gonçalo Manuel;1996-11-29;Paris Saint-Germain FC;PSG;Forward;620;237034;Portugal;Portugal;3767;9905;right;23
Gandi;Najib;1994-06-23;????;????;Midfielder;250;229119;France;France;3924;null;;25
Garics;György;1984-03-08;????;????;Defender;40;20673;Austria;Hungary;null;null;right;35
Gasparetto;Daniele;1988-04-06;????;????;Defender;380;21500;Italy;Italy;3182;null;right;31
Gaudino;Gianluca;1996-11-11;AC Chievo Verona;Chievo;Midfielder;380;272280;Italy;Germany;3165;null;right;23
Gelin;Jérémy;1997-04-24;Stade Rennais FC;Rennes;Defender;250;301013;France;France;3774;null;right;22
Gera;Zoltán;1979-04-22;????;????;Midfielder;348;8372;Hungary;Hungary;null;null;right;40
Ghoochannejhad Nournia;Reza;1987-09-20;????;????;Forward;528;38064;Netherlands;Iran;10689;10840;left;32
Giannotti;Pasquale;1999-06-05;????;????;Midfielder;380;527518;Italy;Italy;26410;null;right;20
Giresse;Thibault;1981-05-25;????;????;Midfielder;250;25941;France;France;None;null;left;38
Girotto;Andrei;1992-02-17;FC Nantes;Nantes;Midfielder;76;43515;Brazil;Brazil;3770;null;right;27
Given;Shay;1976-04-20;????;????;Goalkeeper;372;149022;Ireland Republic;Ireland Republic;None;null;right;43
Go;Yo-Han;1988-03-10;????;????;Midfielder;410;107623;Korea Republic;Korea Republic;14780;14855;right;31
Gontán Gallardo;Sergio;1991-12-27;Málaga Club de Fútbol;Málaga;Midfielder;724;21894;Spain;Spain;683;null;right;28
Gope-Fenepej;George;1988-10-23;Amiens SC;Amiens SC;Forward;540;132972;New Caledonia;New Caledonia;3789;null;right;31
Goudiaby;Lemouya;1997-01-09;FC Metz;Metz;Midfielder;686;470517;Senegal;France;3777;null;right;22
Grange;Dorian;1996-05-10;????;????;Goalkeeper;250;235448;France;France;3917;null;right;23
Grigore;Dragoș;1986-09-07;????;????;Defender;642;84536;Romania;Romania;9311;11944;right;33
Grán;Max;1987-04-05;????;????;Goalkeeper;276;15444;Germany;Germany;None;null;right;32
Guardia Avila;Ricardo;1997-02-04;????;????;Midfielder;591;361536;Panama;Panama;62943;null;left;22
Guarnone;Alessandro;1999-03-27;????;????;Goalkeeper;380;478229;Italy;Italy;3502;null;right;20
Gudmundsson;Albert;1997-06-15;????;????;Forward;352;216568;Iceland;Iceland;10;7839;right;22
Guedes Filho;Marcelo Antônio;1987-05-20;Olympique Lyonnais;Olympique Lyonnais;Defender;76;102;Brazil;Brazil;3766;null;right;32
Guevara Lajo;Ander;1997-07-07;????;????;Midfielder;724;477352;Spain;Spain;723;null;right;22
Guimaraes Bilher;Everton Luiz;1988-05-24;Società Polisportiva Ars et Labor 2013;SPAL;Midfielder;76;45579;Brazil;Brazil;3204;null;right;31
Guzmics;Richárd;1987-04-16;????;????;Defender;348;75209;Hungary;Hungary;9141;10451;right;32
Guðjohnsen;Eiður Smári;1978-09-15;????;????;Forward;352;92982;Iceland;Iceland;null;null;right;41
Gándoğan;İlkay;1990-10-24;Manchester City FC;Manchester City;Midfielder;276;14808;Germany;Germany;1625;3148;right;29
Gánter;Christian;1993-02-28;SC Freiburg;Freiburg;Defender;276;216074;Germany;Germany;2453;null;left;26
Gönál;Gökhan;1985-01-04;????;????;Defender;792;32524;Turkey;Turkey;4489;null;right;34
Hadraoui;Bilal;1999-05-28;????;????;Midfielder;250;525231;France;France;3919;null;;20
Hajsafi;Ehsan;1990-02-25;????;????;Defender;364;79248;Iran;Iran;12509;10840;left;29
Hakšabanović;Sead;1999-05-04;Málaga Club de Fútbol;Málaga;Midfielder;499;361843;Montenegro;Sweden;683;17371;right;20
Han;Kwang-Song;1998-09-11;Cagliari Calcio;Cagliari;Forward;408;404209;Korea DPR;Korea DPR;3173;19571;right;21
Hegazy;Ahmed;1991-01-25;West Bromwich Albion FC;West Bromwich Albion;Defender;818;119951;Egypt;Egypt;1627;16129;right;28
Herrerín Buisán;Iago;1988-01-25;Athletic Club Bilbao;Athletic Club;Goalkeeper;724;4476;Spain;Spain;678;null;right;31
Herzog;Aaron;1998-01-30;????;????;Midfielder;276;391515;Germany;Germany;2619;null;right;21
